snomed_id,name,display_name,synonyms,level_concept,type_concept,type_information,active
112811009,Closure of atrial septal defect,asd - repair of atrial septal defect,"['Atrioseptoplasty', 'Septal atrioplasty of heart', 'Atrioseptopexy', 'Closure of atrial septal defect', 'Correction of atrial septal defect', 'Repair of atrial septal defect', 'Repair of atrial septum of heart', 'Repair of defect of interatrial septum', 'Repair of defect of atrial septum', 'Closure of defect of interatrial septum', 'ASD - Repair of atrial septal defect', 'Closure of atrial septal defect (procedure)']",granular,Procedure,SelfHistory,
112981000119107,Osteoarthritis of bilateral knee joints,Osteoarthritis of bilateral knee joints,"['Osteoarthritis of bilateral knee joints', 'Osteoarthritis of both knee joints', 'Osteoarthritis of bilateral knee joints (disorder)', 'Bilateral osteoarthritis of knees']",granular,Disorder,SelfHistory,
113611000119100,Myofascial pain syndrome of lumbar spine,Myofascial pain syndrome of lumbar spine (disorder),"['Myofascial pain syndrome of lumbar spine (disorder)', 'Myofascial pain syndrome of lumbar spine']",granular,Disorder,SelfHistory,
11366004,Singers' nodes,Singers nodes,"[""Singers' nodes"", ""Singers' nodes (disorder)"", 'Vocal cord nodule', 'Vocal fold nodule', ""Singer's nodule"", ""Screamer's node"", ""Singer's node""]",granular,Disorder,SelfHistory,
11381005,Acne,Acne,"['Acne', 'Acne (disorder)']",group,Disorder,SelfHistory,
11387009,Psychoactive substance-induced organic mental disorder,Psychoactive substance-induced organic mental disorder,"['Psychoactive substance-induced organic mental disorder', 'Psychoactive substance-induced organic mental disorder (disorder)']",granular,Disorder,SelfHistory,
11399002,Pulmonary hypertensive arterial disease,Pulmonary hypertensive arterial disease,"['Pulmonary hypertensive arterial disease', 'Hypertensive pulmonary arterial disease', 'Pulmonary hypertensive arterial disease (disorder)', 'Pulmonary arterial hypertension']",granular,Disorder,SelfHistory,
11401008,Dilation and curettage of uterus,dilatation and curettage,"['Dilation and curettage of uterus', 'Dilation and curettage of uterus (procedure)', 'Dilatation and curettage', 'D&C - Dilatation and curettage']",granular,Procedure,SelfHistory,
11543004,Otosclerosis,Otosclerosis,"['Otosclerosis', 'Otospongiosis', 'Otosclerosis (disorder)']",granular,Disorder,SelfHistory,
1156331007,,Excessive euphoria,,,Finding,SelfHistory,
116028008,Salpingo-oophorectomy,salpingo-oophorectomy,"['Salpingo-oophorectomy', 'Salpingo-oophorectomy (procedure)', 'Tubo-oophorectomy', 'TO - Tubo-oophorectomy', 'SO - Salpingo-oophorectomy']",granular,Procedure,SelfHistory,
116033007,Radical nephrectomy,radical nephrectomy,"['Radical nephrectomy', 'Radical nephrectomy (procedure)']",granular,Procedure,SelfHistory,
116140006,Total hysterectomy,total hysterectomy,"['Total hysterectomy', 'Total hysterectomy (procedure)']",granular,Procedure,SelfHistory,
116141005,Abdominal hysterectomy,abdominal hysterectomy,"['Abdominal hysterectomy', 'Abdominal hysterectomy (procedure)']",granular,Procedure,SelfHistory,
116143008,Total abdominal hysterectomy,total abdominal hysterectomy,"['Total abdominal hysterectomy', 'TAH - Total abdominal hysterectomy', 'Total abdominal hysterectomy (procedure)']",granular,Procedure,SelfHistory,
116144002,Total abdominal hysterectomy with bilateral salpingo-oophorectomy,tah bso - total abdominal hysterectomy and bilateral salpingo-oophorectomy,"['Total abdominal hysterectomy with bilateral salpingo-oophorectomy', 'Total abdominal hysterectomy with bilateral salpingo-oophorectomy (procedure)', 'TAH BSO - Total abdominal hysterectomy and bilateral salpingo-oophorectomy']",granular,Procedure,SelfHistory,
116225000,Complication of injury,Complication of injury,"['Complication of injury', 'Complication of injury (disorder)']",granular,Disorder,SelfHistory,
11654001,Achilles tendinitis,Achilles tendinitis,"['Achilles tendinitis', 'Achilles tendinitis (disorder)', 'Achilles tendonitis']",granular,Disorder,SelfHistory,
116859006,Transfusion of blood product,blood transfusion,"['Transfusion of blood product', 'Blood product administration by intravascular infusion', 'Transfusing blood products', 'BT - Blood transfusion', 'Blood transfusion', 'Transfusion of blood product (procedure)']",granular,Procedure,SelfHistory,
11687002,Gestational diabetes mellitus,Gestational diabetes mellitus,"['Gestational diabetes mellitus', 'GDM', 'Gestational diabetes mellitus (disorder)', 'Gestational diabetes', 'Maternal gestational diabetes mellitus', 'Diabetes mellitus arising in pregnancy', 'GDM - Gestational diabetes mellitus']",granular,Disorder,SelfHistory,
11731003,Neck webbing,Webbed neck,"['Congenital webbing of neck', 'Webbed neck', 'Neck webbing', 'Neck webbing (disorder)']",,Finding,SelfHistory,
1179458001,Random blood sugar low,Low blood glucose level,"['Random blood sugar low', 'Random blood sugar low (finding)']",,Finding,SelfHistory,
118232004,Reproductive finding,Reproductive health,"['Reproductive finding', 'Reproductive finding (finding)']",system,Finding,SelfHistory,
11854011000119108,Injury of left foot,Injury of left foot (disorder),"['Injury of left foot (disorder)', 'Injury of left foot', 'Left foot injury']",granular,Disorder,SelfHistory,
