condition_snomed_id,speciality_id,weight
191736004,16,very_high
49049000,16,low
14077003,16,high
193462001,16,very_high
21897009,16,very_high
860914002,16,medium
13746004,16,very_high
191983006,16,high
191480000,16,very_high
83482000,16,very_high
35489007,16,very_high
56882008,16,very_high
52448006,16,very_high
26929004,16,high
400097005,17,high
51070004,17,very_high
46659004,17,very_high
200635001,17,high
128060009,17,very_high
76618002,17,very_high
76627001,17,low
61530001,17,very_high
78146007,17,high
65619001,17,high
399068003,17,high
37372002,17,high
302835009,17,very_high
28670008,17,very_high
196491008,17,very_high
34742003,17,very_high
14304000,17,very_high
840580004,17,very_high
202882003,17,high
449826002,17,very_high
721188000,17,very_high
73297009,17,high
47639008,17,very_high
30664006,17,very_high
414916001,17,very_high
14168008,17,very_high
449097000,17,very_high
400047006,17,high
266579006,17,high
127014009,17,low
95570007,17,medium
447330002,17,very_high
715192004,17,very_high
65275009,17,very_high
128053003,17,medium
254837009,17,high
70650003,17,high
46090001,17,very_high
371087003,17,high
235494005,17,medium
266569009,17,high
75119003,17,medium
253259008,17,very_high
399882002,17,very_high
302914006,17,very_high
41309000,17,very_high
34000006,17,very_high
74400008,17,very_high
28432003,17,very_high
408335007,17,low
128045006,17,medium
30037006,17,very_high
70153002,17,very_high
240820001,17,high
230745008,17,medium
445008009,17,very_high
36976004,17,very_high
81060008,17,very_high
397825006,17,high
51523009,17,medium
125604000,17,high
396232000,17,very_high
735476006,17,medium
84089009,17,very_high
93163002,17,very_high
15628003,17,low
274142002,17,very_high
81004002,17,low
860914002,17,low
19843006,17,medium
26614003,17,very_high
72779005,17,very_high
79962008,17,high
13758004,17,very_high
307496006,17,very_high
21983002,17,very_high
33659008,17,medium
235595009,17,low
254845004,17,very_high
52011008,17,medium
419893006,17,very_high
55464009,18,very_high
83901003,18,very_high
156370009,18,very_high
69896004,18,very_high
201637001,18,high
89155008,18,very_high
31384009,18,medium
191306005,18,very_high
37151006,18,high
2734,18,very_high
32861005,18,high
4927003,18,medium
37869000,18,very_high
310701003,18,very_high
444248002,18,medium
85828009,18,very_high
26843008,18,very_high
27601005,21,rare
54150009,21,low
233604007,21,very_high
59282003,21,high
154283005,21,very_high
60046008,21,very_high
82796002,21,medium
78275009,21,high
1119303003,21,very_high
45913009,21,high
87284002,21,very_high
87433001,21,very_high
73452002,21,very_high
74699008,21,low
80384002,21,low
12295008,21,very_high
195967001,21,very_high
396285007,21,very_high
3502005,21,low
115665000,21,medium
71186008,21,low
840539006,21,very_high
13645005,21,very_high
64109004,21,low
32398004,21,very_high
19362000,21,low
61582004,21,low
385093006,21,very_high
10509002,21,very_high
447330002,21,very_high
146799005,22,high
21454007,22,very_high
95453001,22,very_high
